#  theta  rho_center  rho_begin  rho_end  score
4.5 -120.46741896788431 -125.83669598278419 -115.25286835606863 0.9475210604546599
130.95000000000005 -74.21958333353423 -85.33967067943628 -63.7575889077749 0.813920628263298
147.6 194.39940107592602 183.60615589267255 205.90269167364315 0.7646528241260467
36.89999999999999 -201.72963532955197 -222.25553936455512 -183.2469607862391 0.763749694755045
103.95 44.655839124782375 38.67125882347573 50.5523104380671 0.7587788817424589
173.7 -116.59928342439893 -126.87600380120479 -106.87338674953484 0.716958261833971
162.45000000000002 173.58860464856005 158.41706064631697 190.2006232427189 0.7126820963028005
35.1 -21.43886746998802 -29.29163278049161 -13.829513689782695 0.7107369170716398
49.050000000000004 -68.28030018742511 -83.99638622196846 -53.835496721890166 0.7097819264994569
47.7 141.97206577815177 134.01256026119222 150.2165413783202 0.6933794197458665
71.10000000000001 -24.46651985426591 -33.744676167990995 -15.612518893452936 0.6633418999530863
15.75 45.71296198809508 39.9360881024237 51.53919990494995 0.6365340909311745
82.8 133.37804326794333 126.4117849526079 140.49130197303086 0.6353046236014868
