#  theta  rho_center  rho_begin  rho_end  score
86.4 80.21948397737546 75.62853056934665 84.83848548812507 0.8875143575190606
28.8 38.182685246200904 33.160691313217825 43.226172664409006 0.860313874297195
133.64999999999998 -74.66038823433118 -80.53213280254012 -68.90127020660469 0.8285773190705945
2.250000000000013 -60.573489778152634 -65.52818952882696 -55.665432049444675 0.8232178447298689
65.69999999999999 -163.49497592353458 -171.2228650424914 -156.01206307460714 0.7978545587756187
147.15 43.98825338537465 39.33159918180024 48.656196019360664 0.7872736709322219
142.20000000000002 -76.6230289289984 -87.91453752534238 -65.73585952777385 0.7214839771829061
77.40000000000002 -25.27278007923063 -34.80929433292227 -15.937354033347857 0.7104475863959907
168.3 -1.3275979442547925 -9.320374077177476 6.625175119176487 0.7066276614773798
106.2 -57.59877020638368 -68.13706735795395 -47.397894429373004 0.6810675650701646
21.6 45.78227708507359 36.54166520165492 55.13539286711237 0.6632045805966781
44.550000000000004 -51.489587582524095 -61.69397921530976 -41.544392670678754 0.6212875652793568
